Name,NetWorth,Country,Source,Rank,Age,Industry
Nick Caporella,$4.4 B,United States,beverages,655,85.0,Food & Beverage
Mark Cuban,$4.4 B,United States,"online media, Dallas Mavericks",655,62.0,Media & Entertainment
Yakir Gabay,$4.4 B,Cyprus,real estate,655,54.0,Real Estate
Erman Ilicak,$4.4 B,Turkey,construction,655,53.0,Construction & Engineering
Gustav Magnar Witzoe,$4.4 B,Norway,fish farming,655,27.0,Food & Beverage
Michael Minhong Yu,$4.4 B,China,education,655,59.0,Service
Zhang Daocai,$4.4 B,China,valves,655,71.0,Diversified
Stéphane Bancel,$4.3 B,France,biotech,665,48.0,Healthcare
Ralph Dommermuth,$4.3 B,Germany,internet service provider,665,57.0,Technology
Thomas Hagen,$4.3 B,United States,insurance,665,85.0,Finance & Investments
Pansy Ho,$4.3 B,Hong Kong,casinos,665,58.0,Gambling & Casinos
Rakesh Jhunjhunwala,$4.3 B,India,investments,665,60.0,Finance & Investments
Lee Yin Yee,$4.3 B,China,glass,665,69.0,Manufacturing
Eric Lefkofsky,$4.3 B,United States,Groupon,665,51.0,Technology
Edwin Leong,$4.3 B,Hong Kong,real estate,665,69.0,Real Estate
Pawan Munjal & family,$4.3 B,India,motorcycles,665,67.0,Automotive
Antony Ressler,$4.3 B,United States,finance,665,59.0,Finance & Investments
Paul Singer,$4.3 B,United States,hedge funds,665,76.0,Finance & Investments
Kerry Stokes,$4.3 B,Australia,"construction equipment, media",665,80.0,Diversified
Steven Udvar-Hazy,$4.3 B,United States,aircraft leasing,665,75.0,Service
Takao Yasuda,$4.3 B,Japan,retail,665,71.0,Fashion & Retail
Ye Chenghai & family,$4.3 B,Hong Kong,pharmaceuticals,665,77.0,Healthcare
Alain Bouchard,$4.2 B,Canada,retail,680,72.0,Fashion & Retail
Rick Caruso,$4.2 B,United States,real estate,680,62.0,Real Estate
Scott Cook,$4.2 B,United States,software,680,68.0,Technology
Barry Diller,$4.2 B,United States,online media,680,79.0,Media & Entertainment
Traudl Engelhorn & family,$4.2 B,Germany,"pharmaceuticals, medical equipment",680,94.0,Healthcare
Fang Wei,$4.2 B,China,steel,680,47.0,Manufacturing
Fu Liquan & family,$4.2 B,China,surveillance equipment,680,53.0,Technology
Luca Garavoglia,$4.2 B,Italy,spirits,680,52.0,Food & Beverage
Tom Golisano,$4.2 B,United States,payroll services,680,79.0,Service
Peter Hargreaves,$4.2 B,United Kingdom,financial services,680,74.0,Finance & Investments
Bertil Hult,$4.2 B,Sweden,education,680,80.0,Service
Ray Lee Hunt,$4.2 B,United States,"oil, real estate",680,78.0,Energy
James Irving,$4.2 B,Canada,diversified,680,93.0,Diversified
Martin Lau,$4.2 B,Hong Kong,e-commerce,680,48.0,Technology
Li Li,$4.2 B,China,healthcare,680,55.0,Healthcare
Liu Fangyi,$4.2 B,China,medical equipment,680,51.0,Healthcare
Luo Liguo & family,$4.2 B,China,chemicals,680,65.0,Manufacturing
Pan Laican,$4.2 B,China,soy sauce,680,,Food & Beverage
Juan Roig,$4.2 B,Spain,supermarkets,680,71.0,Fashion & Retail
Leonard Stern,$4.2 B,United States,real estate,680,83.0,Real Estate
Thomas Straumann,$4.2 B,Switzerland,dental implants,680,57.0,Healthcare
Wang Yanqing & family,$4.2 B,China,electrical equipment,680,54.0,Manufacturing
Ken Xie,$4.2 B,United States,cybersecurity,680,58.0,Technology
Xue Hua,$4.2 B,China,agribusiness,680,51.0,Manufacturing
Steven Meng Yang & family,$4.2 B,China,electronics,680,38.0,Technology
Margot Birmingham Perot,$4.1 B,United States,"computer services, real estate",705,87.0,Technology
David Bonderman,$4.1 B,United States,private equity,705,78.0,Finance & Investments
Matthew Calkins,$4.1 B,United States,software,705,48.0,Technology
Cho Tak Wong,$4.1 B,Hong Kong,auto parts,705,74.0,Manufacturing
Piero Ferrari,$4.1 B,Italy,automobiles,705,75.0,Automotive
Dan Friedkin,$4.1 B,United States,Toyota dealerships,705,56.0,Automotive
Laurence Graff & family,$4.1 B,United Kingdom,diamond jewelry,705,82.0,Fashion & Retail
Martin Haefner,$4.1 B,Switzerland,"software, investments",705,67.0,Technology
Hong Ra-hee,$4.1 B,South Korea,Samsung,705,75.0,Technology
Ji Qi,$4.1 B,China,"hotels, motels",705,54.0,Real Estate
"Rupert Johnson, Jr.",$4.1 B,United States,money management,705,80.0,Finance & Investments
Daniel Kretinsky,$4.1 B,Czechia,"energy, investments",705,45.0,Energy
William Lauder,$4.1 B,United States,Estee Lauder,705,60.0,Fashion & Retail
Janice McNair,$4.1 B,United States,"energy, sports",705,84.0,Sports
John Morris,$4.1 B,United States,sporting goods retail,705,73.0,Fashion & Retail
Gabe Newell,$4.1 B,United States,videogames,705,58.0,Gambling & Casinos
Katharina Otto-Bernstein,$4.1 B,Germany,real estate,705,57.0,Real Estate
Julio Ponce Lerou,$4.1 B,Chile,fertilizer,705,75.0,Metals & Mining
Jon Stryker,$4.1 B,United States,medical equipment,705,62.0,Healthcare
Suh Kyung-bae,$4.1 B,South Korea,cosmetics,705,58.0,Fashion & Retail
Xu Jingren,$4.1 B,China,pharmaceuticals,705,76.0,Healthcare
Samuel Yin,$4.1 B,Taiwan,retail,705,70.0,Diversified
Walter P.J. Droege,$4 B,Germany,investing,727,68.0,Finance & Investments
Du Jiangtao & family,$4 B,China,chemicals,727,51.0,Manufacturing
Vinod & Anil Rai Gupta,$4 B,India,electrical equipment,727,,Manufacturing
Masatoshi Ito,$4 B,Japan,retail,727,96.0,Fashion & Retail
Igor Kesaev,$4 B,Russia,"tobacco distribution, retail",727,54.0,Fashion & Retail
Koon Poh Keong,$4 B,Malaysia,aluminum,727,59.0,Manufacturing
Paul Xiaoming Lee & family,$4 B,United States,packaging,727,63.0,Manufacturing
Li Xiang,$4 B,China,electric vehicles,727,39.0,Automotive
Melissa Ma,$4 B,China,internet search,727,51.0,Technology
Kiran Mazumdar-Shaw,$4 B,India,biopharmaceuticals,727,68.0,Healthcare
Gwendolyn Sontheim Meyer,$4 B,United States,Cargill,727,59.0,Food & Beverage
Akira Mori & family,$4 B,Japan,real estate,727,84.0,Real Estate
Georg Nemetschek & family,$4 B,Germany,software,727,87.0,Technology
Masahiro Noda,$4 B,Japan,software,727,82.0,Technology
Ajay Piramal,$4 B,India,pharmaceuticals,727,65.0,Healthcare
Qiu Guanghe & family,$4 B,China,fashion retail,727,69.0,Fashion & Retail
Trevor Rees-Jones,$4 B,United States,oil & gas,727,69.0,Energy
Ira Rennert,$4 B,United States,investments,727,86.0,Finance & Investments
Marc Rowan,$4 B,United States,private equity,727,58.0,Finance & Investments
Ugur Sahin,$4 B,Germany,biotechnology,727,55.0,Healthcare
Michal Solowow,$4 B,Poland,investments,727,58.0,Finance & Investments
Udo & Harald Tschira,$4 B,Germany,software,727,,Technology
Wu Jianshu,$4 B,Hong Kong,auto parts,727,57.0,Automotive
Ye Xiaoping,$4 B,China,pharmaceuticals,727,58.0,Healthcare
Zhou Hongyi,$4 B,China,security software,727,50.0,Technology
Che Jianxing,$3.9 B,China,furniture retailing,752,54.0,Fashion & Retail
Beatriz Davila de Santo Domingo,$3.9 B,Colombia,beer,752,82.0,Food & Beverage
Rafael Del Pino,$3.9 B,Spain,construction,752,62.0,Construction & Engineering
Du Weimin,$3.9 B,China,vaccines,752,57.0,Healthcare
Rakesh Gangwal,$3.9 B,United States,airline,752,67.0,Service
Paul Gauselmann & family,$3.9 B,Germany,gambling,752,86.0,Gambling & Casinos
Jeff Greene,$3.9 B,United States,"real estate, investments",752,66.0,Real Estate
Johnelle Hunt,$3.9 B,United States,trucking,752,89.0,Logistics
Jin Baofang,$3.9 B,China,solar energy,752,68.0,Energy
Kuan Kam Hon & family,$3.9 B,Malaysia,synthetic gloves,752,73.0,Manufacturing
"Stephen Mandel, Jr.",$3.9 B,United States,hedge funds,752,65.0,Finance & Investments
Gilles Martin,$3.9 B,France,laboratory services,752,57.0,Healthcare
Masahiro Miki,$3.9 B,Japan,shoes,752,65.0,Fashion & Retail
Dan Olsson,$3.9 B,Sweden,diversified,752,74.0,Diversified
Robert Rowling,$3.9 B,United States,"hotels, investments",752,67.0,Service
Erik Selin,$3.9 B,Sweden,real estate,752,53.0,Real Estate
Mark Shoen,$3.9 B,United States,U-Haul,752,70.0,Automotive
Ben Silbermann,$3.9 B,United States,Pinterest,752,38.0,Technology
Maximilian Viessmann,$3.9 B,Germany,heating and cooling equipment,752,,Manufacturing
Wang Linpeng,$3.9 B,China,furniture retailing,752,52.0,Construction & Engineering
Wu Zhigang & family,$3.9 B,China,bakery chain,752,86.0,Food & Beverage
Yi Zheng,$3.9 B,China,software,752,50.0,Technology
Zhang Wenzhong,$3.9 B,China,supermarkets,752,59.0,Fashion & Retail
Euisun Chung,$3.8 B,South Korea,Hyundai,775,50.0,Logistics
Daniel D'Aniello,$3.8 B,United States,private equity,775,74.0,Finance & Investments
Oleg Deripaska,$3.8 B,Russia,"aluminum, utilities",775,53.0,Metals & Mining
Sergey Dmitriev,$3.8 B,Russia,computer software,775,55.0,Technology
Feng Hailiang,$3.8 B,China,"copper, education",775,60.0,Metals & Mining
John Gandel,$3.8 B,Australia,shopping malls,775,86.0,Real Estate
Gao Dekang & family,$3.8 B,China,apparel,775,69.0,Fashion & Retail
Jaime Gilinski Bacal,$3.8 B,Colombia,banking,775,63.0,Finance & Investments
Sergei Gordeev,$3.8 B,Russia,real estate,775,48.0,Real Estate
Jeff Green,$3.8 B,United States,online advertising,775,44.0,Media & Entertainment
"Amos Hostetter, Jr.",$3.8 B,United States,cable television,775,84.0,Media & Entertainment
Kuok Khoon Hong,$3.8 B,Singapore,palm oil,775,71.0,Manufacturing
Lai Jianping,$3.8 B,China,soy sauce,775,,Food & Beverage
Aerin Lauder,$3.8 B,United States,cosmetics,775,50.0,Fashion & Retail
Hans Georg Naeder,$3.8 B,Germany,prosthetics,775,59.0,Manufacturing
Maren Otto,$3.8 B,Germany,"retail, real estate",775,,Diversified
Clive Palmer,$3.8 B,Australia,mining,775,67.0,Metals & Mining
Karsanbhai Patel,$3.8 B,India,consumer goods,775,77.0,Diversified
Qiu Jianping & family,$3.8 B,China,hand tools,775,59.0,Manufacturing
Wolfgang Reimann,$3.8 B,Germany,consumer goods,775,68.0,Fashion & Retail
Matthias Reimann-Andersen,$3.8 B,Germany,consumer goods,775,56.0,Fashion & Retail
Stefan Reimann-Andersen,$3.8 B,Germany,consumer goods,775,57.0,Fashion & Retail
Renate Reimann-Haas,$3.8 B,Germany,consumer goods,775,69.0,Fashion & Retail
Dirk Rossmann & family,$3.8 B,Germany,drugstores,775,74.0,Fashion & Retail
Shaul Shani,$3.8 B,Israel,telecom,775,66.0,Telecom
Song Fei,$3.8 B,China,machinery,775,54.0,Manufacturing
Donald Sterling,$3.8 B,United States,real estate,775,86.0,Real Estate
Ivar Tollefsen,$3.8 B,Norway,real estate,775,59.0,Real Estate
Don Vultaggio & family,$3.8 B,United States,beverages,775,69.0,Food & Beverage
Nusli Wadia,$3.8 B,India,consumer goods,775,77.0,Food & Beverage
Zhang Jin,$3.8 B,China,commodities,775,49.0,Diversified
Zhu Gongshan,$3.8 B,China,solar panel materials,775,63.0,Manufacturing
Peter Gilgan,$3.7 B,Canada,homebuilding,807,70.0,Construction & Engineering
Marian Ilitch,$3.7 B,United States,Little Caesars,807,88.0,Food & Beverage
Kong Jian Min,$3.7 B,China,real estate,807,53.0,Real Estate
Li Liangbin,$3.7 B,China,lithium,807,53.0,Manufacturing
Li Yongxin & family,$3.7 B,China,education,807,45.0,Service
Mary Alice Dorrance Malone,$3.7 B,United States,Campbell Soup,807,71.0,Food & Beverage
Michael Milken,$3.7 B,United States,investments,807,74.0,Finance & Investments
Ronald Perelman,$3.7 B,United States,leveraged buyouts,807,78.0,Finance & Investments
Candido Pinheiro Koren de Lima,$3.7 B,Brazil,"hospitals, health insurance",807,74.0,Healthcare
J. Joe Ricketts & family,$3.7 B,United States,TD Ameritrade,807,79.0,Finance & Investments
Paolo & Gianfelice Mario Rocca,$3.7 B,Italy,pipe manufacturing,807,,Metals & Mining
Jeff Rothschild,$3.7 B,United States,Facebook,807,66.0,Technology
David Rubenstein,$3.7 B,United States,private equity,807,71.0,Finance & Investments
Maria-Elisabeth Schaeffler-Thumann,$3.7 B,Germany,auto parts,807,79.0,Automotive
Steven Spielberg,$3.7 B,United States,movies,807,74.0,Media & Entertainment
Barry Sternlicht,$3.7 B,United States,private equity,807,60.0,Finance & Investments
Mark Stevens,$3.7 B,United States,venture capital,807,61.0,Finance & Investments
David Steward,$3.7 B,United States,IT provider,807,69.0,Technology
Vincent Viola,$3.7 B,United States,electronic trading,807,65.0,Finance & Investments
Todd Wanek,$3.7 B,United States,furniture,807,57.0,Manufacturing
Wang Roger,$3.7 B,United States,retail,807,72.0,Fashion & Retail
Russ Weiner,$3.7 B,United States,energy drinks,807,50.0,Food & Beverage
Herbert Wertheim,$3.7 B,United States,investments,807,81.0,Finance & Investments
Xu Shugen,$3.7 B,China,"construction, mining machinery",807,55.0,Manufacturing
Anil Agarwal & family,$3.6 B,India,"mining, metals",831,67.0,Metals & Mining
Majid Al Futtaim & family,$3.6 B,United Arab Emirates,"real estate, retail",831,,Real Estate
Leonid Boguslavsky,$3.6 B,Russia,venture capital,831,69.0,Finance & Investments
"Austen Cargill, II.",$3.6 B,United States,Cargill,831,70.0,Food & Beverage
"James Cargill, II.",$3.6 B,United States,Cargill,831,71.0,Food & Beverage
Chu Lam Yiu,$3.6 B,Hong Kong,flavorings,831,51.0,Manufacturing
Steve Conine,$3.6 B,United States,online retail,831,48.0,Technology
Hu Kaijun,$3.6 B,China,pharmaceuticals,831,59.0,Healthcare
S. Curtis Johnson,$3.6 B,United States,cleaning products,831,65.0,Manufacturing
Helen Johnson-Leipold,$3.6 B,United States,cleaning products,831,64.0,Manufacturing
Daryl Katz,$3.6 B,Canada,pharmacies,831,59.0,Diversified
Peter Kellogg,$3.6 B,United States,investments,831,78.0,Finance & Investments
Samuel Tak Lee,$3.6 B,Hong Kong,real estate,831,81.0,Real Estate
Li Hongxin & family,$3.6 B,China,paper & related products,831,68.0,Manufacturing
Marianne Liebmann,$3.6 B,United States,Cargill,831,67.0,Food & Beverage
Winifred J. Marquart,$3.6 B,United States,cleaning products,831,62.0,Manufacturing
Daniel Och,$3.6 B,United States,hedge funds,831,60.0,Finance & Investments
Anthony Pritzker,$3.6 B,United States,"hotels, investments",831,60.0,Service
Rodger Riney & family,$3.6 B,United States,discount brokerage,831,75.0,Finance & Investments
Niraj Shah,$3.6 B,United States,online retail,831,47.0,Technology
Lynsi Snyder,$3.6 B,United States,In-N-Out Burger,831,38.0,Food & Beverage
Jerzy Starak,$3.6 B,Poland,pharmaceuticals,831,73.0,Healthcare
Michael Tojner,$3.6 B,Austria,"batteries, investments",831,55.0,Manufacturing
Richard Tsai,$3.6 B,Taiwan,finance,831,63.0,Finance & Investments
Ty Warner,$3.6 B,United States,"real estate, plush toys",831,76.0,Real Estate
Yang Shaopeng,$3.6 B,China,shipping,831,63.0,Logistics
Yuan Liping,$3.6 B,Canada,pharmaceuticals,831,50.0,Healthcare
Zhang Hongwei,$3.6 B,China,"oil, banking",831,66.0,Diversified
Andrej Babis,$3.5 B,Czechia,agriculture,859,66.0,Food & Beverage
Shyam & Hari Bhartia,$3.5 B,India,diversified,859,68.0,Diversified
Hubert Burda,$3.5 B,Germany,publishing,859,81.0,Media & Entertainment
Chuchat Petaumpai & Daonapa Petampai,$3.5 B,Thailand,motorcycle loans,859,67.0,Finance & Investments
Charles Cohen,$3.5 B,United States,real estate,859,69.0,Real Estate
David Filo,$3.5 B,United States,Yahoo,859,54.0,Technology
Sergei Galitsky,$3.5 B,Russia,retail,859,53.0,Fashion & Retail
Alessandra Garavoglia,$3.5 B,Italy,spirits,859,61.0,Food & Beverage
Franco Bittar Garcia,$3.5 B,Brazil,retailing,859,37.0,Fashion & Retail
Martha Ingram & family,$3.5 B,United States,"book distribution, transportation",859,85.0,Media & Entertainment
H. Fisk Johnson,$3.5 B,United States,cleaning products,859,62.0,Manufacturing
Li Guoqiang,$3.5 B,China,auto dealerships,859,57.0,Automotive
Lim Wee Chai,$3.5 B,Malaysia,rubber gloves,859,63.0,Manufacturing
Liu Xiaodong,$3.5 B,China,flavorings,859,53.0,Manufacturing
Daniel Loeb,$3.5 B,United States,hedge funds,859,59.0,Finance & Investments
Jim McKelvey,$3.5 B,United States,mobile payments,859,55.0,Technology
Apoorva Mehta,$3.5 B,Canada,grocery delivery service,859,34.0,Technology
N.R. Narayana Murthy,$3.5 B,India,software services,859,74.0,Technology
John Paulson,$3.5 B,United States,hedge funds,859,65.0,Finance & Investments
J.B. Pritzker,$3.5 B,United States,"hotels, investments",859,56.0,Finance & Investments
Michael Rubin,$3.5 B,United States,online retail,859,48.0,Fashion & Retail
Arnout Schuijff,$3.5 B,Netherlands,payments software,859,53.0,Technology
Thomas Secunda,$3.5 B,United States,Bloomberg LP,859,66.0,Media & Entertainment
Vivek Chaand Sehgal,$3.5 B,Australia,auto parts,859,64.0,Automotive
E. Joe Shoen,$3.5 B,United States,U-Haul,859,71.0,Automotive
Leena Tewari,$3.5 B,India,pharmaceuticals,859,63.0,Healthcare
Julia Thiele-Schuerhoff,$3.5 B,Germany,brakes,859,,Manufacturing
Romesh T. Wadhwani,$3.5 B,United States,software,859,73.0,Technology
Wu Shaoxun,$3.5 B,China,wine,859,65.0,Food & Beverage
Ye Guofu,$3.5 B,China,retail,859,43.0,Fashion & Retail
Denise York & family,$3.5 B,United States,San Francisco 49ers,859,70.0,Sports
Zhou Jianping,$3.5 B,China,fashion retail,859,60.0,Fashion & Retail
Mohed Altrad,$3.4 B,France,"scaffolding, cement mixers",891,73.0,Construction & Engineering
Gayle Benson,$3.4 B,United States,pro sports teams,891,74.0,Sports
Francesco Gaetano Caltagirone,$3.4 B,Italy,"cement, diversified",891,78.0,Construction & Engineering
"William Conway, Jr.",$3.4 B,United States,private equity,891,71.0,Finance & Investments
Jim Davis,$3.4 B,United States,staffing & recruiting,891,61.0,Service
Deng Wen,$3.4 B,China,flavorings,891,53.0,Food & Beverage
Ennio Doris & family,$3.4 B,Italy,financial services,891,80.0,Finance & Investments
Bernard Ecclestone & family,$3.4 B,United Kingdom,Formula One,891,90.0,Sports
Alexander Frolov,$3.4 B,Russia,"mining, steel",891,56.0,Metals & Mining
Fiona Geminder,$3.4 B,Australia,manufacturing,891,56.0,Manufacturing
Zarakh Iliev,$3.4 B,Russia,real estate,891,54.0,Real Estate
Viktor Kharitonin,$3.4 B,Russia,pharmaceuticals,891,48.0,Healthcare
Steven Klinsky,$3.4 B,United States,investments,891,64.0,Finance & Investments
Chris Larsen,$3.4 B,United States,cryptocurrency,891,60.0,Finance & Investments
Angela Leong,$3.4 B,Hong Kong,casinos,891,60.0,Real Estate
Margarita Louis-Dreyfus & family,$3.4 B,Switzerland,commodities,891,58.0,Food & Beverage
John Middleton,$3.4 B,United States,tobacco,891,66.0,Food & Beverage
Arnon Milchan,$3.4 B,Israel,movie making,891,76.0,Media & Entertainment
Arturo Moreno,$3.4 B,United States,"billboards, Anaheim Angels",891,74.0,Sports
God Nisanov,$3.4 B,Russia,real estate,891,48.0,Real Estate
Benjamin Zhengmin Pan & family,$3.4 B,China,electronics,891,51.0,Technology
Jay Paul,$3.4 B,United States,real estate,891,73.0,Real Estate
Remo Ruffini,$3.4 B,Italy,winter jackets,891,59.0,Fashion & Retail
Patrick Ryan,$3.4 B,United States,insurance,891,83.0,Finance & Investments
RJ Scaringe,$3.4 B,United States,electric vehicles,891,38.0,Automotive
Lynn Schusterman,$3.4 B,United States,"oil & gas, investments",891,82.0,Energy
Eric Ya Shen,$3.4 B,China,online apparel retail,891,50.0,Technology
Daniel Tsai,$3.4 B,Taiwan,finance,891,64.0,Finance & Investments
Tung Chee Chen,$3.4 B,Hong Kong,shipping,891,78.0,Logistics
Bulat Utemuratov,$3.4 B,Kazakhstan,"mining, banking, hotels",891,63.0,Metals & Mining
Frank VanderSloot,$3.4 B,United States,"nutrition, wellness products",891,72.0,Fashion & Retail
Kelcy Warren,$3.4 B,United States,pipelines,891,65.0,Energy
Xu Yi,$3.4 B,China,Internet,891,31.0,Media & Entertainment
Vladimir Yevtushenkov,$3.4 B,Russia,"telecom, investments",891,72.0,Telecom
Somphote Ahunai,$3.3 B,Thailand,renewable energy,925,53.0,Energy
John Arnold,$3.3 B,United States,hedge funds,925,47.0,Finance & Investments
Neal Blue & family,$3.3 B,United States,defense,925,86.0,Manufacturing
Alejandro Bulgheroni,$3.3 B,Argentina,oil & gas,925,76.0,Energy
Dong Jinggui,$3.3 B,China,electric scooters,925,51.0,Automotive
Joseph Edelman,$3.3 B,United States,hedge funds,925,65.0,Finance & Investments
Charles Edelstenne,$3.3 B,France,aviation,925,83.0,Manufacturing
Senapathy Gopalakrishnan,$3.3 B,India,software services,925,66.0,Technology
B. Wayne Hughes,$3.3 B,United States,self storage,925,87.0,Service
Ravi Jaipuria,$3.3 B,India,"soft drinks, fast food",925,66.0,Food & Beverage
Samvel Karapetyan,$3.3 B,Russia,real estate,925,55.0,Construction & Engineering
Vyacheslav Kim,$3.3 B,Kazakhstan,fintech,925,51.0,Finance & Investments
Jim Koch,$3.3 B,United States,beer,925,71.0,Food & Beverage
"Andre Koo, Sr.",$3.3 B,Taiwan,financial services,925,53.0,Finance & Investments
Yuri Kovalchuk,$3.3 B,Russia,"banking, insurance, media",925,69.0,Finance & Investments
Richard LeFrak & family,$3.3 B,United States,real estate,925,75.0,Real Estate
Kevin David Lehmann,$3.3 B,Germany,drugstores,925,18.0,Fashion & Retail
Horst Paulmann & family,$3.3 B,Chile,retail,925,86.0,Fashion & Retail
Jean (Gigi) Pritzker,$3.3 B,United States,"hotels, investments",925,58.0,Service
Qi Xiangdong,$3.3 B,China,software,925,50.0,Technology
Renzo Rosso & family,$3.3 B,Italy,fashion,925,65.0,Fashion & Retail
Stephen Rubin,$3.3 B,United Kingdom,sports apparel,925,84.0,Fashion & Retail
"Bernard Saul, II.",$3.3 B,United States,"banking, real estate",925,88.0,Finance & Investments
Klaus-Peter Schulenberg,$3.3 B,Germany,ticketing service,925,,Service
Tahir & family,$3.3 B,Indonesia,diversified,925,69.0,Diversified
Lucio Tan,$3.3 B,Philippines,diversified,925,86.0,Diversified
Lottie Tham & family,$3.3 B,Sweden,H&M,925,71.0,Fashion & Retail
Wang Wenxue,$3.3 B,China,real estate,925,53.0,Real Estate
Hans Peter Wild,$3.3 B,Switzerland,flavorings,925,79.0,Food & Beverage
"William Wrigley, Jr.",$3.3 B,United States,chewing gum,925,57.0,Food & Beverage
Zhang Xin & Pan Shiyi,$3.3 B,China,real estate,925,55.0,Real Estate
Giuliana Benetton,$3.2 B,Italy,"fashion retail, investments",956,83.0,Fashion & Retail
Luciano Benetton,$3.2 B,Italy,"fashion retail, investments",956,85.0,Fashion & Retail
Tomasz Biernacki,$3.2 B,Poland,supermarkets,956,48.0,Fashion & Retail
Chey Tae-won,$3.2 B,South Korea,"oil, semiconductor",956,60.0,Telecom
John Collison,$3.2 B,Ireland,payments software,956,30.0,Technology
Patrick Collison,$3.2 B,Ireland,payment software,956,32.0,Technology
Jack Cowin,$3.2 B,Australia,fast food,956,78.0,Food & Beverage
Archie Aldis Emmerson & family,$3.2 B,United States,"timberland, lumber mills",956,91.0,Manufacturing
Yoichi & Keiko Erikawa,$3.2 B,Japan,videogames,956,,Media & Entertainment
Juan Carlos Escotet,$3.2 B,Venezuela,banking,956,61.0,Finance & Investments
Carlo Fidani,$3.2 B,Canada,real estate,956,66.0,Real Estate
Don Hankey,$3.2 B,United States,auto loans,956,77.0,Finance & Investments
Otto Happel,$3.2 B,Germany,engineering,956,73.0,Construction & Engineering
He Zhaoxi,$3.2 B,China,software,956,47.0,Technology
Heidi Horten,$3.2 B,Austria,retail,956,80.0,Fashion & Retail
Ke Zunhong & family,$3.2 B,China,pharmaceuticals,956,66.0,Healthcare
Thai Lee,$3.2 B,United States,IT provider,956,62.0,Technology
Mikhail Lomtadze,$3.2 B,Georgia,fintech,956,45.0,Finance & Investments
Ronald McAulay,$3.2 B,Hong Kong,energy,956,85.0,Energy
Maja Oeri,$3.2 B,Switzerland,Pharmaceuticals,956,66.0,Healthcare
James Packer,$3.2 B,Australia,casinos,956,53.0,Gambling & Casinos
John Sall,$3.2 B,United States,software,956,73.0,Technology
Naguib Sawiris,$3.2 B,Egypt,telecom,956,66.0,Telecom
Zygmunt Solorz-Zak,$3.2 B,Poland,TV broadcasting,956,64.0,Media & Entertainment
Lawrence Stroll,$3.2 B,Canada,fashion investments,956,61.0,Fashion & Retail
Rita Tong Liu,$3.2 B,Hong Kong,real estate,956,72.0,Real Estate
Tsai Cheng-ta,$3.2 B,Taiwan,finance,956,71.0,Finance & Investments
Tsai Hong-tu,$3.2 B,Taiwan,finance,956,68.0,Finance & Investments
Steve Wynn,$3.2 B,United States,"casinos, hotels",956,79.0,Gambling & Casinos
Zhang Li,$3.2 B,China,real estate,956,68.0,Real Estate
Otto Philipp Braun,$3.1 B,Germany,medical technology,986,43.0,Healthcare
John Caudwell,$3.1 B,United Kingdom,mobile phones,986,68.0,Telecom
Chi Yufeng,$3.1 B,China,software,986,50.0,Technology
Camilla de Godoy Bueno Grossi,$3.1 B,Brazil,medical labs,986,42.0,Healthcare
Antonio Del Valle Ruiz & family,$3.1 B,Mexico,chemicals,986,82.0,Manufacturing
Martin Ebner,$3.1 B,Switzerland,investments,986,75.0,Finance & Investments
John Fisher,$3.1 B,United States,Gap,986,59.0,Fashion & Retail
Jane Goldman,$3.1 B,United States,real estate,986,65.0,Real Estate
Gu Yuhua & family,$3.1 B,China,furniture,986,71.0,Manufacturing
Hao Hong,$3.1 B,United States,pharmaceuticals,986,65.0,Healthcare
Hoi Kin Hong,$3.1 B,Macao,real estate,986,68.0,Real Estate
Jin Lei,$3.1 B,China,pharmaceuticals,986,55.0,Healthcare
Artem Khachatryan,$3.1 B,Russia,retail,986,46.0,Fashion & Retail
Li Gaiteng,$3.1 B,China,hair dryers,986,48.0,Manufacturing
Li Zhongchu,$3.1 B,China,software,986,57.0,Technology
Harald Link,$3.1 B,Thailand,diversified,986,66.0,Diversified
Sergey Lomakin,$3.1 B,Russia,retail,986,47.0,Fashion & Retail
Nie Tengyun & family,$3.1 B,China,logistics,986,45.0,Service
Prasert Prasarttong-Osoth,$3.1 B,Thailand,hospitals,986,88.0,Healthcare
Penny Pritzker,$3.1 B,United States,"hotels, investments",986,61.0,Finance & Investments
Herb Simon,$3.1 B,United States,real estate,986,86.0,Real Estate
Jerry Speyer,$3.1 B,United States,real estate,986,80.0,Real Estate
Wilhelm Beier & family,$3 B,Germany,pharmaceuticals,1008,64.0,Healthcare
Koos Bekker,$3 B,South Africa,"media, investments",1008,68.0,Media & Entertainment
Ben Chestnut,$3 B,United States,email marketing,1008,46.0,Technology
John Coates,$3 B,United Kingdom,online gambling,1008,51.0,Gambling & Casinos
Pedro de Godoy Bueno,$3 B,Brazil,health insurance,1008,30.0,Healthcare
Carl Douglas,$3 B,Sweden,investments,1008,59.0,Diversified
Eric Douglas,$3 B,Sweden,investments,1008,52.0,Diversified
Behdad Eghbali,$3 B,United States,private equity,1008,44.0,Finance & Investments
Jose E. Feliciano,$3 B,United States,private equity,1008,47.0,Finance & Investments
Philippe Foriel-Destezet,$3 B,France,employment agency,1008,85.0,Service
Gan Zhongru,$3 B,China,pharmaceuticals,1008,72.0,Healthcare
Allan Goldman,$3 B,United States,real estate,1008,78.0,Real Estate
Amy Goldman Fowler,$3 B,United States,real estate,1008,66.0,Real Estate
Alec Gores,$3 B,United States,private equity,1008,68.0,Finance & Investments
